0	0 0 0.0437155 2.43172 0.75157 1 1 0.227163 1.598 0.605657 2 2 0.413126 3.80791 1.09647 3 3 0.976599 1.90272 1.23283 4 4 1.074 3.19065 1.25471 5 5 1.19542 4.92488 1.98269 6 6 1.37995 0.615442 2.25324 7 7 1.83043 2.75082 1.00792 8 8 2.16842 4.09246 1.38883 9 9 2.28805 1.85086 0.944639 10 10 2.57844 2.59465 0.465243 11 11 2.63344 1.17618 0.917682 12 12 2.57402 5.1651 1.55693 13 13 2.67807 3.28607 0.556719 14 14 2.69376 0.181266 1.2406 15 15 3.36453 2.88693 0.572533 16 16 3.31023 3.95917 0.995172 17 17 3.37539 2.07009 0.820225 18 18 3.42245 0.705944 0.691293 19 19 3.621 5.33301 1.07539 20 20 3.93388 0.947779 0.883845 21 21 4.07955 3.39374 0.91022 22 22 4.20384 5.21866 0.514715 23 23 4.37533 2.25018 1.44724 24 24 4.28819 4.36925 0.687452 25 25 4.71631 1.00756 1.15549 26 26 4.68996 5.06286 0.299785 27 27 4.89 3.66585 0.903929 28 28 4.73257 5.95995 0.948374 29 29 5.05782 4.62821 0.410593 30 30 5.31918 5.33648 0.541809 31 31 5.48056 2.95061 1.24007 32 32 5.51395 1.48932 1.09183 33 33 5.73955 4.33036 0.912634 34 34 5.93974 0.392423 1.48725 35 35 6.19135 5.38151 1.1544 
1	0 0 0.224065 2.39288 0.766688 1 1 0.434882 1.53239 0.750156 2 2 0.419521 3.63458 0.40107 3 3 1.12613 1.91583 1.00254 4 4 1.076 3.25238 1.06119 5 5 1.31172 4.75351 1.06049 6 6 1.45993 0.739494 1.11684 7 7 1.75797 2.80843 0.971741 8 8 2.05699 4.10991 1.08476 9 9 2.14303 1.78784 0.940718 10 10 2.58899 2.54448 0.679451 11 11 2.52584 1.13108 0.8812 12 12 2.45702 4.98699 1.01619 13 13 2.60866 3.38291 0.756826 14 14 2.55709 0.317069 0.823661 15 15 3.44041 2.88257 0.805087 16 16 3.22052 4.07874 0.977885 17 17 3.39285 1.93648 0.959976 18 18 3.35859 0.761091 0.799924 19 19 3.49962 5.23449 0.877745 20 20 4.01174 1.04491 0.863447 21 21 4.2178 3.08647 0.451804 22 22 4.11378 5.18887 0.476004 23 23 4.43054 2.24022 1.11599 24 24 4.18597 4.35264 0.791476 25 25 4.78149 1.07936 0.867912 26 26 4.69699 5.10329 0.453174 27 27 4.89408 3.59486 0.863228 28 28 4.99657 5.92376 0.483931 29 29 5.06267 4.53217 0.527997 30 30 5.42964 5.30407 0.621225 31 31 5.34782 2.92947 0.897485 32 32 5.36537 1.53759 0.888407 33 33 5.73198 4.31991 0.809873 34 34 5.82307 0.511806 0.851019 35 35 6.17203 5.34471 0.668288 36 36 4.35422 5.91537 0.540966 37 37 3.96214 3.62791 0.503255 38 38 0.779161 4.07333 0.416263 
2	0 0 0.0164222 2.21042 0.380325 1 1 0.546516 1.53809 0.739629 2 2 0.450408 3.60551 0.439006 3 3 1.21699 1.96839 0.842193 4 4 1.13723 3.27761 0.90747 5 5 1.42486 4.6596 0.811749 6 6 1.52635 0.850138 0.936688 7 7 1.77534 2.83069 0.880457 8 8 2.04937 4.04641 0.901557 9 9 2.11055 1.79538 0.864889 10 10 2.61322 2.52216 0.743759 11 11 2.51938 1.16225 0.769462 12 12 2.43951 4.88815 0.85286 13 13 2.59482 3.39116 0.761842 14 14 2.54673 0.403292 0.699852 15 15 3.4452 2.87147 0.85438 16 16 3.16008 4.11397 0.90934 17 17 3.36462 1.88312 0.944294 18 18 3.32452 0.827338 0.730355 19 19 3.45002 5.16941 0.793893 20 20 4.0214 1.11372 0.802525 21 21 4.22902 3.01842 0.513175 22 22 4.08433 5.16065 0.4366 23 23 4.41962 2.20398 0.999489 24 24 4.13891 4.37349 0.765539 25 25 4.7937 1.12164 0.756445 26 26 4.70209 5.11693 0.529954 27 27 4.83732 3.56252 0.767178 28 28 5.00161 5.90481 0.49216 29 29 5.05252 4.48676 0.580706 30 30 5.45482 5.30696 0.596597 31 31 5.28015 2.89608 0.8006 32 32 5.29347 1.61825 0.785281 33 33 5.557 3.95102 0.493076 34 34 5.73477 0.596732 0.720723 35 35 6.18004 5.35266 0.565213 36 36 4.29628 5.88 0.564331 37 37 3.92613 3.6509 0.608688 38 38 0.85939 4.08658 0.490669 39 39 0.547221 2.5191 0.553983 40 40 5.87603 4.60228 0.502923 
3	0 0 0.0511366 2.18378 0.404504 1 1 0.617835 1.55212 0.714069 2 2 0.481194 3.5943 0.45162 3 3 1.27591 2.01635 0.78286 4 4 1.17946 3.28437 0.855066 5 5 1.48977 4.5848 0.735493 6 6 1.57025 0.928353 0.871672 7 7 1.81578 2.83987 0.815502 8 8 2.06366 3.98546 0.815783 9 9 2.11469 1.82168 0.802977 10 10 2.63982 2.51253 0.724992 11 11 2.52239 1.19899 0.696891 12 12 2.4431 4.82581 0.783534 13 13 2.60559 3.37372 0.723863 14 14 2.54342 0.465736 0.642982 15 15 3.44017 2.86314 0.847595 16 16 3.13073 4.11021 0.866563 17 17 3.33797 1.86928 0.901775 18 18 3.30166 0.883954 0.676773 19 19 3.4164 5.12499 0.7585 20 20 4.01573 1.16625 0.752531 21 21 4.25249 2.96397 0.589841 22 22 4.06865 5.13853 0.4146 23 23 4.38258 2.15256 0.899728 24 24 4.08226 4.37852 0.724539 25 25 4.78937 1.15196 0.700837 26 26 4.70113 5.1053 0.569301 27 27 4.78262 3.55361 0.671794 28 28 4.99664 5.89206 0.494921 29 29 4.86151 4.29652 0.375395 30 30 5.47171 5.33437 0.566292 31 31 5.21904 2.85314 0.791678 32 32 5.25788 1.6829 0.738019 33 33 5.51829 3.89503 0.584153 34 34 5.66453 0.663835 0.673954 35 35 6.18562 5.35845 0.519123 36 36 4.25704 5.84632 0.576481 37 37 3.89035 3.64702 0.627643 38 38 0.90599 4.08335 0.49125 39 39 0.60467 2.52201 0.605349 40 40 5.91117 4.61511 0.539321 41 41 5.23896 4.65246 0.332316 
4	0 0 0.0932756 2.16611 0.421573 1 1 0.672144 1.56817 0.695453 2 2 0.514614 3.5465 0.505165 3 3 1.31236 2.05983 0.744169 4 4 1.2368 3.29435 0.787436 5 5 1.53298 4.52428 0.697761 6 6 1.59768 0.987912 0.82836 7 7 1.84934 2.84686 0.758407 8 8 2.08227 3.93674 0.765011 9 9 2.09405 1.84935 0.728814 10 10 2.62198 2.54141 0.636594 11 11 2.49139 1.2017 0.60923 12 12 2.45095 4.77966 0.745913 13 13 2.62215 3.35805 0.679117 14 14 2.54064 0.510775 0.605355 15 15 3.42758 2.85971 0.836438 16 16 3.11414 4.09517 0.832469 17 17 3.64297 1.89871 0.550342 18 18 3.29609 0.943007 0.662439 19 19 3.39122 5.09299 0.73861 20 20 4.04301 1.1654 0.660821 21 21 4.27542 2.93 0.619499 22 22 4.0555 5.11945 0.400738 23 23 4.39732 2.12447 0.793914 24 24 4.03852 4.37482 0.707489 25 25 4.78891 1.16878 0.652693 26 26 4.69863 5.09591 0.585498 27 27 4.73714 3.5651 0.630378 28 28 4.98633 5.8816 0.496413 29 29 4.8257 4.28023 0.428523 30 30 5.48529 5.35542 0.556591 31 31 5.174 2.82648 0.777762 32 32 5.24577 1.72698 0.703631 33 33 5.49386 3.85994 0.616993 34 34 5.6092 0.71989 0.649955 35 35 6.18912 5.35822 0.491629 36 36 4.22862 5.81533 0.582103 37 37 3.85996 3.62698 0.621294 38 38 0.937831 4.07273 0.478339 39 39 0.644872 2.5559 0.644098 40 40 5.93931 4.61513 0.553036 41 41 5.27101 4.65639 0.380023 42 42 3.02012 1.84872 0.590794 
5	0 0 0.130472 2.15752 0.426721 1 1 0.697496 1.59452 0.673212 2 2 0.535343 3.49912 0.540112 3 3 1.36254 1.75229 0.370345 4 4 1.28481 3.32121 0.733234 5 5 1.56076 4.47651 0.66841 6 6 1.62269 1.00353 0.763957 7 7 1.8977 2.87833 0.676419 8 8 2.10106 3.90018 0.715059 9 9 2.08156 1.88406 0.694479 10 10 2.62217 2.55516 0.595674 11 11 2.47711 1.21898 0.56927 12 12 2.42446 4.72799 0.679789 13 13 2.63909 3.3432 0.629495 14 14 2.53846 0.545117 0.580058 15 15 3.42056 2.82909 0.795947 16 16 3.07954 4.0527 0.739833 17 17 3.66066 1.88482 0.575771 18 18 3.28336 0.991337 0.652864 19 19 3.25395 4.84745 0.548779 20 20 4.055 1.16981 0.632096 21 21 4.26858 2.91712 0.625793 22 22 4.05268 5.09141 0.439585 23 23 4.40425 2.11311 0.764848 24 24 4.00767 4.33174 0.659483 25 25 4.78975 1.18061 0.619387 26 26 4.60664 4.81555 0.308309 27 27 4.71973 3.56118 0.591577 28 28 4.99017 5.90492 0.466291 29 29 4.81481 4.24049 0.422305 30 30 5.51621 5.37733 0.532948 31 31 5.14949 2.81208 0.759942 32 32 5.24301 1.75899 0.681418 33 33 5.47596 3.83558 0.629008 34 34 5.56746 0.767169 0.631953 35 35 6.19351 5.35465 0.473323 36 36 4.22175 5.82317 0.541774 37 37 3.63564 3.5889 0.37698 38 38 0.960109 4.05469 0.462337 39 39 0.637523 2.61223 0.613174 40 40 5.95615 4.60796 0.563332 41 41 5.2765 4.67213 0.437744 42 42 2.98588 1.87395 0.625881 43 43 4.77873 5.31491 0.386734 44 44 3.53561 5.40737 0.366844 45 45 1.29857 2.34856 0.517536 46 46 4.0827 3.61604 0.29293 
6	0 0 0.155424 2.15464 0.423194 1 1 0.720671 1.61765 0.667431 2 2 0.543499 3.47808 0.539774 3 3 1.39047 1.71786 0.380532 4 4 1.30993 3.34061 0.704606 5 5 1.57633 4.43997 0.643828 6 6 1.64185 1.00799 0.72719 7 7 1.92664 2.89628 0.643026 8 8 2.1126 3.87171 0.672987 9 9 2.07737 1.91246 0.676131 10 10 2.62488 2.55935 0.562655 11 11 2.47219 1.2422 0.544478 12 12 2.41008 4.69151 0.651908 13 13 2.64903 3.32458 0.581858 14 14 2.53689 0.574002 0.563596 15 15 3.41512 2.79287 0.768406 16 16 3.04646 4.02761 0.699861 17 17 3.66483 1.87521 0.572143 18 18 3.27211 1.02809 0.644715 19 19 3.22842 4.82906 0.593336 20 20 4.05837 1.17659 0.61821 21 21 4.25472 2.91078 0.626055 22 22 3.91561 4.91637 0.248175 23 23 4.4055 2.10773 0.751192 24 24 3.97771 4.28993 0.638613 25 25 4.77844 1.19967 0.584401 26 26 4.57681 4.77306 0.345094 27 27 4.73039 3.54636 0.553961 28 28 4.98633 5.93833 0.443416 29 29 4.81245 4.21077 0.41299 30 30 5.53585 5.16381 0.279231 31 31 5.13377 2.79986 0.744035 32 32 5.24009 1.79022 0.660973 33 33 5.46766 3.81889 0.6288 34 34 5.66088 0.611543 0.305931 35 35 6.18565 5.35398 0.482725 36 36 4.22753 5.83979 0.518616 37 37 3.61753 3.55869 0.445398 38 38 0.974703 4.03664 0.44793 39 39 0.634192 2.64365 0.608839 40 40 5.96988 4.5891 0.560616 41 41 5.2726 4.65927 0.449929 42 42 2.96867 1.88993 0.622228 43 43 4.80205 5.32491 0.436781 44 44 3.55038 5.4515 0.418506 45 45 1.30815 2.37666 0.57804 46 46 4.12575 3.60896 0.288426 47 47 5.52047 5.60851 0.302448 48 48 4.17225 5.23457 0.236393 49 49 5.41806 0.988757 0.342612 
7	0 0 0.176103 2.15329 0.42 1 1 0.743545 1.63519 0.664037 2 2 0.547666 3.46792 0.533499 3 3 1.42326 1.72399 0.410818 4 4 1.32355 3.35146 0.684098 5 5 1.58512 4.41065 0.625975 6 6 1.63427 1.00187 0.672245 7 7 1.93435 2.93199 0.590663 8 8 2.13363 3.85309 0.659987 9 9 2.08747 1.64584 0.365645 10 10 2.47288 2.58475 0.269343 11 11 2.49467 1.21773 0.488844 12 12 2.38468 4.68354 0.606707 13 13 2.61125 3.2973 0.480627 14 14 2.75536 0.54799 0.321764 15 15 3.54912 2.50572 0.476229 16 16 3.0887 3.78762 0.40923 17 17 3.66844 1.82731 0.520598 18 18 3.27521 1.05396 0.620302 19 19 3.19909 4.84581 0.55625 20 20 4.0538 1.17939 0.595888 21 21 4.23967 2.9146 0.619778 22 22 3.88516 4.87949 0.297576 23 23 4.39093 2.11027 0.688107 24 24 3.94402 4.24514 0.632739 25 25 4.74527 1.24563 0.55363 26 26 4.54552 4.75181 0.387869 27 27 4.73646 3.53205 0.532808 28 28 4.98469 5.98193 0.434982 29 29 4.80872 4.18655 0.40607 30 30 5.55218 5.13225 0.315005 31 31 5.12359 2.81471 0.703492 32 32 5.36673 1.60433 0.337002 33 33 5.46501 3.80222 0.623473 34 34 5.67948 0.598602 0.321717 35 35 6.17904 5.3545 0.492977 36 36 4.23769 5.87003 0.500968 37 37 3.64985 3.55144 0.383536 38 38 0.983938 4.02113 0.436787 39 39 0.63388 2.66291 0.606063 40 40 5.98291 4.5606 0.555865 41 41 5.26347 4.63016 0.447217 42 42 2.93132 1.87837 0.608899 43 43 4.83696 5.33303 0.46161 44 44 3.56013 5.47425 0.468351 45 45 1.29859 2.40803 0.568157 46 46 4.14711 3.59804 0.278889 47 47 5.35743 5.61097 0.1678 48 48 4.1918 5.26543 0.263977 49 49 5.38419 1.00746 0.406543 50 50 2.07249 2.17236 0.432922 51 51 3.28509 3.05189 0.438991 52 52 2.96944 4.25266 0.390866 53 53 5.11056 2.03695 0.394139 54 54 2.28188 0.634985 0.270303 55 55 5.68073 5.69672 0.193614 56 56 2.85305 2.57397 0.263258 
8	0 0 0.191394 2.15025 0.413996 1 1 0.762021 1.64753 0.657437 2 2 0.601275 3.26975 0.297139 3 3 1.44395 1.73213 0.420027 4 4 1.19997 3.09382 0.343372 5 5 1.58997 4.40152 0.593738 6 6 1.6063 1.00804 0.637296 7 7 1.90797 2.97052 0.554026 8 8 2.17222 3.85582 0.622642 9 9 2.09938 1.61318 0.381342 10 10 2.45013 2.57092 0.305568 11 11 2.51521 1.1933 0.473656 12 12 2.33186 4.68684 0.553607 13 13 2.59557 3.25755 0.463775 14 14 2.77578 0.543722 0.390371 15 15 3.579 2.45485 0.501192 16 16 3.07799 3.76665 0.447018 17 17 3.66378 1.78741 0.486873 18 18 3.29197 1.06795 0.591602 19 19 3.40855 4.72014 0.28776 20 20 4.05245 1.17698 0.570491 21 21 4.22602 2.91611 0.607629 22 22 3.90107 4.86725 0.304714 23 23 4.37753 2.11269 0.65258 24 24 3.93311 4.20436 0.618514 25 25 4.73366 1.27932 0.55358 26 26 4.53145 4.73304 0.406035 27 27 4.73678 3.52309 0.514472 28 28 5.01042 6.02039 0.464826 29 29 4.80327 4.16681 0.402396 30 30 5.56765 5.13363 0.363023 31 31 5.11545 2.83934 0.673482 32 32 5.3971 1.6067 0.360646 33 33 5.46539 3.78892 0.617542 34 34 5.6893 0.588085 0.340289 35 35 6.19511 5.35123 0.485902 36 36 4.24613 5.88997 0.509266 37 37 3.67295 3.54088 0.352664 38 38 0.978441 4.05801 0.390736 39 39 0.620071 2.64549 0.557556 40 40 5.99165 4.53743 0.559823 41 41 5.25818 4.60959 0.454578 42 42 2.89591 1.87605 0.61494 43 43 4.8484 5.33254 0.46183 44 44 3.54362 5.48099 0.517934 45 45 1.29172 2.40698 0.533025 46 46 4.16251 3.58692 0.261478 47 47 5.31254 5.59174 0.144825 48 48 4.3286 5.21944 0.152104 49 49 5.37043 1.00305 0.422244 50 50 2.03433 2.18972 0.443391 51 51 3.31304 3.07042 0.438493 52 52 2.94686 4.29194 0.434871 53 53 5.09144 2.07369 0.449988 54 54 2.22703 0.639065 0.28936 55 55 5.68976 5.74911 0.27447 56 56 2.91622 2.59384 0.299364 57 57 2.9713 4.99465 0.356977 58 58 1.42895 3.59567 0.429594 59 59 0.522271 3.67599 0.303682 60 60 4.06494 5.35152 0.134681 
9	0 0 0.197387 2.13891 0.400468 1 1 0.77436 1.65097 0.645467 2 2 0.612968 3.24114 0.33778 3 3 1.45708 1.73325 0.415124 4 4 1.19792 3.03638 0.351724 5 5 1.59202 4.40984 0.566752 6 6 1.58471 1.01361 0.624628 7 7 1.89249 2.99579 0.549896 8 8 2.19684 3.86163 0.608898 9 9 2.10333 1.59716 0.385346 10 10 2.43938 2.56736 0.323819 11 11 2.52405 1.17912 0.470751 12 12 2.29963 4.69423 0.53511 13 13 2.59332 3.23678 0.459189 14 14 2.78677 0.53346 0.42919 15 15 3.3696 2.37034 0.261534 16 16 3.07327 3.75509 0.460305 17 17 3.65944 1.781 0.494301 18 18 3.3005 1.07305 0.579224 19 19 3.42376 4.72294 0.308054 20 20 4.05393 1.17526 0.556462 21 21 4.23725 2.92674 0.570454 22 22 3.92303 4.87496 0.330643 23 23 4.38562 2.10719 0.62191 24 24 3.9257 4.18028 0.618219 25 25 4.73218 1.30187 0.553167 26 26 4.53411 4.71032 0.403822 27 27 4.73577 3.5174 0.499275 28 28 5.0437 6.05291 0.466129 29 29 4.79974 4.14972 0.398349 30 30 5.57906 5.13105 0.389048 31 31 5.11104 2.85491 0.657138 32 32 5.41626 1.61441 0.38132 33 33 5.46666 3.77849 0.612846 34 34 5.69514 0.578463 0.357038 35 35 6.21084 5.34805 0.48916 36 36 4.04984 5.87489 0.307565 37 37 3.68507 3.53256 0.340674 38 38 0.971859 4.1141 0.36557 39 39 0.604409 2.60954 0.52041 40 40 5.99856 4.5196 0.565569 41 41 5.25792 4.59342 0.460938 42 42 2.86752 1.86965 0.606843 43 43 4.87431 5.32032 0.440418 44 44 3.50688 5.48963 0.515262 45 45 1.29041 2.38748 0.499982 46 46 4.17182 3.57765 0.245223 47 47 5.29449 5.58349 0.135211 48 48 4.34488 5.24843 0.199318 49 49 5.36183 0.999614 0.431407 50 50 2.01511 2.19848 0.444834 51 51 3.34026 3.06099 0.453355 52 52 2.93738 4.31159 0.457347 53 53 5.08833 2.09845 0.46929 54 54 2.19594 0.637286 0.3078 55 55 5.69794 5.7754 0.325701 56 56 2.92796 2.60597 0.29976 57 57 2.93141 5.02224 0.402508 58 58 1.40842 3.62211 0.510096 59 59 0.522986 3.71367 0.358352 60 60 4.01637 5.36628 0.113561 61 61 3.80874 2.48796 0.292058 62 62 4.4706 5.90402 0.285585 
