0	0 0 0.0437155 2.43172 0.75157 1 1 0.227163 1.598 0.605657 2 2 0.413126 3.80791 1.09647 3 3 0.976599 1.90272 1.23283 4 4 1.074 3.19065 1.25471 5 5 1.19542 4.92488 1.98269 6 6 1.37995 0.615442 2.25324 7 7 1.83043 2.75082 1.00792 8 8 2.16842 4.09246 1.38883 9 9 2.28805 1.85086 0.944639 10 10 2.57844 2.59465 0.465243 11 11 2.63344 1.17618 0.917682 12 12 2.57402 5.1651 1.55693 13 13 2.67807 3.28607 0.556719 14 14 2.69376 0.181266 1.2406 15 15 3.36453 2.88693 0.572533 16 16 3.31023 3.95917 0.995172 17 17 3.37539 2.07009 0.820225 18 18 3.42245 0.705944 0.691293 19 19 3.621 5.33301 1.07539 20 20 3.93388 0.947779 0.883845 21 21 4.07955 3.39374 0.91022 22 22 4.20384 5.21866 0.514715 23 23 4.37533 2.25018 1.44724 24 24 4.28819 4.36925 0.687452 25 25 4.71631 1.00756 1.15549 26 26 4.68996 5.06286 0.299785 27 27 4.89 3.66585 0.903929 28 28 4.73257 5.95995 0.948374 29 29 5.05782 4.62821 0.410593 30 30 5.31918 5.33648 0.541809 31 31 5.48056 2.95061 1.24007 32 32 5.51395 1.48932 1.09183 33 33 5.73955 4.33036 0.912634 34 34 5.93974 0.392423 1.48725 35 35 6.19135 5.38151 1.1544 
1	0 0 0.22449 2.36724 0.739979 1 1 0.434124 1.54113 0.719496 2 2 0.619315 3.8693 0.702458 3 3 1.11691 1.93438 0.979702 4 4 1.07205 3.24363 1.06324 5 5 1.28537 4.70682 1.06835 6 6 1.45833 0.771031 1.09978 7 7 1.75912 2.81107 0.932501 8 8 2.06221 4.07587 1.09359 9 9 2.14156 1.79986 0.995935 10 10 2.59463 2.55768 0.657271 11 11 2.53342 1.1337 0.858566 12 12 2.45779 4.95414 1.04214 13 13 2.6106 3.36991 0.729677 14 14 2.5499 0.365159 0.758337 15 15 3.43769 2.89177 0.80936 16 16 3.24926 4.07588 1.02998 17 17 3.39697 1.92986 0.970472 18 18 3.36166 0.782763 0.761725 19 19 3.54537 5.25281 0.868481 20 20 4.01706 1.06815 0.826421 21 21 4.08819 3.37786 0.820981 22 22 4.14219 5.21822 0.470282 23 23 4.42697 2.27158 1.1926 24 24 4.19594 4.34492 0.849309 25 25 4.79035 1.10258 0.822088 26 26 4.69858 5.0703 0.380252 27 27 4.88985 3.59809 0.85118 28 28 4.62872 5.8465 0.698714 29 29 5.06836 4.52532 0.505571 30 30 5.3764 5.30579 0.653718 31 31 5.34925 2.95611 0.89183 32 32 5.35674 1.56573 0.868757 33 33 5.73815 4.31404 0.828936 34 34 5.82153 0.546342 0.82995 35 35 6.13779 5.27826 0.578029 
2	0 0 0.3767 2.33588 0.655673 1 1 0.545752 1.55081 0.658415 2 2 0.714489 3.85751 0.490612 3 3 1.18218 2.01695 0.841898 4 4 1.10682 3.25275 0.937483 5 5 1.34892 4.52626 0.860817 6 6 1.519 0.920001 0.911396 7 7 1.76966 2.83308 0.843445 8 8 2.0669 4.00144 0.942298 9 9 2.11725 1.82042 0.922407 10 10 2.61856 2.5388 0.717111 11 11 2.52729 1.1817 0.726512 12 12 2.45723 4.81543 0.846305 13 13 2.60634 3.37764 0.738558 14 14 2.53346 0.495517 0.605374 15 15 3.45182 2.89168 0.862228 16 16 3.23558 4.08272 0.963136 17 17 3.37686 1.8982 0.944549 18 18 3.32525 0.882484 0.69217 19 19 3.52205 5.17907 0.796305 20 20 4.03252 1.16342 0.753392 21 21 4.0754 3.38267 0.785265 22 22 4.12212 5.18063 0.408728 23 23 4.40841 2.29095 1.12193 24 24 4.15316 4.33368 0.840434 25 25 4.80746 1.17747 0.705873 26 26 4.69583 5.0401 0.414846 27 27 4.85782 3.56343 0.788507 28 28 4.57506 5.75556 0.615688 29 29 5.03897 4.45664 0.547332 30 30 5.3751 5.25452 0.632663 31 31 5.28867 2.92851 0.833263 32 32 5.29801 1.67144 0.789211 33 33 5.7085 4.27775 0.781721 34 34 5.71323 0.656478 0.670163 35 35 6.07819 5.17885 0.442933 
3	0 0 0.485772 2.31489 0.580397 1 1 0.633375 1.56906 0.600141 2 2 0.779804 3.84224 0.381246 3 3 1.23723 2.07951 0.759196 4 4 1.13064 3.2333 0.882676 5 5 1.39558 4.40067 0.779677 6 6 1.55862 1.03083 0.841561 7 7 1.80261 2.84435 0.772618 8 8 2.09196 3.92649 0.858213 9 9 2.12584 1.86238 0.857359 10 10 2.64181 2.53523 0.695681 11 11 2.53178 1.24047 0.643606 12 12 2.47572 4.71078 0.765315 13 13 2.62373 3.35848 0.69921 14 14 2.5294 0.596263 0.534624 15 15 3.45224 2.88891 0.844859 16 16 3.23624 4.05658 0.903075 17 17 3.36203 1.90839 0.897206 18 18 3.30121 0.969839 0.63492 19 19 3.50235 5.11528 0.761141 20 20 4.03219 1.25062 0.704414 21 21 4.05647 3.37994 0.748634 22 22 4.11515 5.11778 0.389638 23 23 4.39112 2.31517 1.0799 24 24 4.1148 4.30437 0.782888 25 25 4.80499 1.24404 0.652784 26 26 4.69334 5.00491 0.406277 27 27 4.82531 3.53864 0.756016 28 28 4.53672 5.67455 0.579806 29 29 4.99283 4.423 0.584989 30 30 5.36864 5.20982 0.595414 31 31 5.26278 2.91814 0.803478 32 32 5.27763 1.75209 0.753318 33 33 5.66914 4.23652 0.757786 34 34 5.63278 0.751765 0.610149 35 35 6.03199 5.08975 0.377025 
4	0 0 0.569181 2.33171 0.567351 1 1 0.705522 1.59521 0.55886 2 2 0.832115 3.81392 0.343351 3 3 1.29487 2.11081 0.685509 4 4 1.14414 3.2042 0.866856 5 5 1.43909 4.31157 0.712703 6 6 1.5911 1.1173 0.795376 7 7 1.83599 2.85164 0.71792 8 8 2.11665 3.86049 0.80464 9 9 2.14669 1.90591 0.80255 10 10 2.66242 2.53859 0.65334 11 11 2.53829 1.29741 0.585379 12 12 2.49385 4.62769 0.723327 13 13 2.64564 3.33335 0.652969 14 14 2.52805 0.680603 0.491988 15 15 3.45164 2.88662 0.809993 16 16 3.23914 4.02512 0.858553 17 17 3.35287 1.93256 0.850244 18 18 3.28471 1.04625 0.595631 19 19 3.48794 5.0585 0.737566 20 20 4.02766 1.32709 0.668796 21 21 4.04023 3.37346 0.713149 22 22 4.1069 5.05685 0.36982 23 23 4.37943 2.34146 1.04391 24 24 4.09486 4.27626 0.747712 25 25 4.79187 1.30735 0.617754 26 26 4.68421 4.97017 0.382222 27 27 4.79735 3.51997 0.731481 28 28 4.50602 5.6014 0.558326 29 29 4.95616 4.39075 0.580558 30 30 5.35049 5.15756 0.577595 31 31 5.25062 2.91862 0.779657 32 32 5.2665 1.81985 0.727011 33 33 5.62953 4.19178 0.742703 34 34 5.55228 0.852475 0.546037 35 35 5.9944 5.00803 0.338961 
5	0 0 0.628337 2.34905 0.543902 1 1 0.763863 1.62653 0.531226 2 2 0.866787 3.78334 0.347531 3 3 1.33928 2.14156 0.641999 4 4 1.16625 3.18142 0.835538 5 5 1.484 4.24023 0.661374 6 6 1.62005 1.18806 0.759581 7 7 1.86737 2.85492 0.671774 8 8 2.14168 3.80581 0.762531 9 9 2.16987 1.94584 0.75848 10 10 2.68062 2.54536 0.609818 11 11 2.54614 1.34999 0.541043 12 12 2.51056 4.55956 0.693816 13 13 2.66683 3.3095 0.610127 14 14 2.52826 0.753515 0.462687 15 15 3.4521 2.8862 0.773849 16 16 3.24351 3.99396 0.823394 17 17 3.34771 1.96083 0.808424 18 18 3.27325 1.1127 0.567072 19 19 3.47574 5.00557 0.718918 20 20 4.02097 1.39304 0.63999 21 21 4.02843 3.3673 0.681071 22 22 4.09656 5.0021 0.348649 23 23 4.37149 2.36846 1.01082 24 24 4.08266 4.24954 0.71856 25 25 4.77099 1.3693 0.587408 26 26 4.67053 4.93173 0.361365 27 27 4.77524 3.5043 0.708501 28 28 4.48002 5.53424 0.542795 29 29 4.92771 4.35967 0.565323 30 30 5.32951 5.1044 0.564351 31 31 5.24611 2.92423 0.757648 32 32 5.25709 1.88069 0.703378 33 33 5.59499 4.14659 0.727915 34 34 5.48476 0.956129 0.498929 35 35 5.96195 4.93171 0.314647 
6	0 0 0.673754 2.36704 0.522543 1 1 0.81143 1.65872 0.510261 2 2 0.888345 3.75882 0.371369 3 3 1.37765 2.16713 0.612904 4 4 1.1889 3.16437 0.810363 5 5 1.5296 4.18014 0.62244 6 6 1.64596 1.24677 0.727561 7 7 1.89644 2.85574 0.632381 8 8 2.16796 3.75999 0.726393 9 9 2.19296 1.98382 0.717096 10 10 2.6972 2.55385 0.569515 11 11 2.55133 1.39933 0.510365 12 12 2.52611 4.50325 0.669352 13 13 2.68653 3.28835 0.571519 14 14 2.52942 0.817917 0.441322 15 15 3.45347 2.88752 0.740326 16 16 3.24846 3.96478 0.79348 17 17 3.34494 1.98934 0.772236 18 18 3.26502 1.17052 0.545172 19 19 3.46511 4.95614 0.703154 20 20 4.01319 1.44983 0.615689 21 21 4.02026 3.3619 0.651874 22 22 4.08591 4.95185 0.328989 23 23 4.36557 2.39509 0.980783 24 24 4.07391 4.22373 0.6922 25 25 4.74942 1.42939 0.562341 26 26 4.65511 4.89222 0.342648 27 27 4.75832 3.49069 0.686535 28 28 4.45741 5.47194 0.530372 29 29 4.90425 4.3299 0.548468 30 30 5.3086 5.0522 0.553452 31 31 5.24643 2.93204 0.736996 32 32 5.24988 1.93585 0.682616 33 33 5.56623 4.10303 0.713 34 34 5.43529 1.05379 0.472038 35 35 5.93337 4.86009 0.297617 
7	0 0 0.710641 2.38494 0.504611 1 1 0.85001 1.6914 0.490991 2 2 0.906511 3.72977 0.377487 3 3 1.41133 2.1888 0.590591 4 4 1.21112 3.15018 0.788272 5 5 1.56633 4.12469 0.593155 6 6 1.67009 1.29731 0.698578 7 7 1.92448 2.85809 0.602106 8 8 2.19247 3.72304 0.694617 9 9 2.21513 2.01921 0.681408 10 10 2.7129 2.56355 0.532852 11 11 2.55492 1.44502 0.486504 12 12 2.5393 4.45591 0.64872 13 13 2.70488 3.26879 0.533103 14 14 2.53093 0.875695 0.425118 15 15 3.45542 2.89005 0.709988 16 16 3.25157 3.93719 0.770423 17 17 3.34358 2.01652 0.74104 18 18 3.25857 1.22126 0.527824 19 19 3.456 4.91026 0.689507 20 20 4.00531 1.499 0.59523 21 21 4.01449 3.35709 0.625219 22 22 4.07604 4.90515 0.311592 23 23 4.36078 2.42048 0.953695 24 24 4.06651 4.19891 0.667725 25 25 4.73 1.48698 0.541518 26 26 4.64369 4.85069 0.330952 27 27 4.74481 3.47795 0.664507 28 28 4.43787 5.41352 0.520507 29 29 4.88178 4.29781 0.524755 30 30 5.28802 5.00457 0.538763 31 31 5.24954 2.94035 0.717291 32 32 5.24468 1.98685 0.66337 33 33 5.53576 4.05903 0.69577 34 34 5.39693 1.14391 0.451926 35 35 5.90418 4.78415 0.293236 
8	0 0 0.741254 2.4057 0.485381 1 1 0.873612 1.74748 0.448141 2 2 0.923948 3.69835 0.374048 3 3 1.44164 2.21 0.570415 4 4 1.23307 3.13724 0.767139 5 5 1.59636 4.07613 0.571372 6 6 1.68682 1.34547 0.680148 7 7 1.95192 2.86179 0.576665 8 8 2.21557 3.69249 0.66656 9 9 2.23579 2.05178 0.651084 10 10 2.72798 2.57337 0.499471 11 11 2.55806 1.48697 0.46705 12 12 2.54986 4.41528 0.630661 13 13 2.72183 3.25101 0.496763 14 14 2.53276 0.928017 0.411963 15 15 3.45754 2.89312 0.682511 16 16 3.25287 3.9114 0.750308 17 17 3.34306 2.0418 0.713954 18 18 3.25353 1.26614 0.513405 19 19 3.4483 4.86768 0.677981 20 20 3.99794 1.54192 0.577934 21 21 4.00969 3.35272 0.600964 22 22 4.06734 4.86123 0.296592 23 23 4.35657 2.44414 0.929101 24 24 4.05923 4.17486 0.645461 25 25 4.71338 1.54151 0.523672 26 26 4.6377 4.80687 0.327072 27 27 4.73365 3.46562 0.643243 28 28 4.42121 5.35853 0.51253 29 29 4.85954 4.26206 0.494672 30 30 5.26894 4.96172 0.521135 31 31 5.25393 2.94885 0.698448 32 32 5.24097 2.03423 0.645072 33 33 5.51048 4.02425 0.68899 34 34 5.3665 1.2266 0.434729 35 35 5.87727 4.71521 0.289248 
9	0 0 0.767504 2.42824 0.466747 1 1 0.895863 1.79352 0.424414 2 2 0.938537 3.66792 0.366774 3 3 1.47003 2.2289 0.555022 4 4 1.25457 3.1257 0.746388 5 5 1.61555 4.0244 0.54341 6 6 1.69878 1.38657 0.664268 7 7 1.97883 2.86701 0.555702 8 8 2.23278 3.6669 0.633669 9 9 2.2555 2.08307 0.622517 10 10 2.74243 2.58346 0.469167 11 11 2.5583 1.52644 0.453344 12 12 2.56124 4.37446 0.608242 13 13 2.73836 3.2377 0.468703 14 14 2.53413 0.976334 0.401499 15 15 3.46138 2.89346 0.653218 16 16 3.25254 3.88529 0.736149 17 17 3.34298 2.06496 0.690211 18 18 3.24927 1.30625 0.501354 19 19 3.4421 4.82863 0.667908 20 20 3.99131 1.57972 0.563184 21 21 4.00554 3.34848 0.578728 22 22 4.0594 4.81982 0.283308 23 23 4.35264 2.46598 0.906541 24 24 4.05242 4.15158 0.625178 25 25 4.69874 1.59301 0.50696 26 26 4.6282 4.76572 0.318102 27 27 4.72433 3.45401 0.623366 28 28 4.40684 5.30674 0.505615 29 29 4.84185 4.23016 0.47471 30 30 5.251 4.91801 0.509814 31 31 5.25906 2.95746 0.680627 32 32 5.23764 2.07912 0.626338 33 33 5.4916 3.99033 0.675942 34 34 5.33513 1.31342 0.40485 35 35 5.85372 4.65168 0.285394 
